"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"03/20/2026","953.13","954.90","957.69","943.54","2.09B","1.09%"
"03/19/2026","942.83","949.15","957.83","940.46","2.07B","-1.36%"
"03/18/2026","955.82","961.70","966.84","954.50","1.91B","0.23%"
"03/17/2026","953.66","944.99","959.50","941.81","2.17B","2.19%"
"03/16/2026","933.25","940.45","942.30","931.58","1.37B","-0.35%"
"03/13/2026","936.50","942.94","946.93","932.61","1.88B","-1.43%"
"03/12/2026","950.12","926.63","950.16","925.72","1.89B","1.83%"
"03/11/2026","933.08","937.93","948.44","933.08","2.07B","0.03%"
"03/10/2026","932.77","936.80","941.20","923.62","1.99B","1.57%"
"03/09/2026","918.38","891.79","921.00","883.11","2.76B","-2.06%"
"03/06/2026","937.70","937.46","943.31","933.01","1.76B","-0.63%"
"03/05/2026","943.60","952.27","954.26","922.57","3.61B","1.95%"
"03/04/2026","925.51","930.34","937.71","894.07","5.06B","-5.44%"
"03/02/2026","978.80","994.24","1,008.00","978.62","3.29B","-3.99%"
"02/27/2026","1,019.53","1,017.19","1,032.59","1,015.43","2.58B","-0.63%"
"02/26/2026","1,026.01","1,022.64","1,027.86","1,017.60","2.04B","0.97%"
"02/25/2026","1,016.19","1,010.89","1,021.24","1,007.84","2.43B","1.60%"
"02/24/2026","1,000.20","993.28","1,001.94","983.12","2.13B","0.75%"
"02/23/2026","992.79","999.75","1,009.37","984.92","2.73B","-0.24%"
"02/20/2026","995.15","1,002.17","1,004.42","990.86","3.36B","-0.84%"
"02/19/2026","1,003.57","990.60","1,004.85","988.81","2.97B","1.75%"
"02/18/2026","986.32","985.27","989.62","979.46","2.73B","0.34%"
"02/17/2026","982.93","968.07","984.21","966.34","2.61B","1.48%"
"02/16/2026","968.61","971.66","976.15","964.98","1.81B","0.44%"
"02/13/2026","964.35","968.06","973.89","961.17","2.16B","-0.76%"
"02/12/2026","971.77","951.17","971.91","950.45","2.63B","2.30%"
"02/11/2026","949.89","950.92","956.07","947.00","1.91B","-0.05%"
"02/10/2026","950.34","949.53","951.97","943.49","1.97B","0.82%"
"02/09/2026","942.61","937.46","948.12","932.60","5.20B","3.65%"
"02/06/2026","909.38","902.01","915.61","901.09","1.29B","0.58%"
"02/05/2026","904.12","902.70","908.43","898.18","1.75B","0.10%"
"02/04/2026","903.22","899.11","904.26","897.01","1.54B","1.26%"
"02/03/2026","891.95","888.44","901.93","886.83","1.93B","1.08%"
"02/02/2026","882.44","878.97","882.71","872.53","1.57B","-0.03%"
"01/30/2026","882.67","884.06","887.59","880.76","1.80B","-0.55%"
"01/29/2026","887.59","892.58","895.20","884.76","1.78B","-0.67%"
"01/28/2026","893.60","892.72","895.70","887.28","1.62B","0.53%"
"01/27/2026","888.92","874.89","891.10","873.29","1.88B","1.84%"
"01/26/2026","872.84","875.14","876.59","868.95","1.70B","-0.44%"
"01/23/2026","876.69","875.98","883.74","872.58","2.36B","0.20%"
"01/22/2026","874.91","882.44","887.32","870.58","2.84B","-0.73%"
"01/21/2026","881.31","872.42","884.03","870.95","2.27B","1.37%"
"01/20/2026","869.40","860.52","875.71","859.87","1.93B","1.12%"
"01/19/2026","859.77","854.84","863.66","852.78","1.34B","0.46%"
"01/16/2026","855.83","844.24","856.89","841.74","1.68B","1.37%"
"01/15/2026","844.30","831.43","845.85","828.77","1.37B","1.26%"
"01/14/2026","833.83","828.01","835.64","826.22","1.18B","1.02%"
"01/13/2026","825.38","833.07","834.55","822.45","1.37B","-0.32%"
"01/12/2026","828.04","835.33","837.25","825.96","1.27B","-0.64%"
"01/09/2026","833.35","834.60","840.11","831.52","906.63M","0.03%"
"01/08/2026","833.08","835.04","840.69","831.55","1.10B","-1.51%"
"01/07/2026","845.83","841.93","846.78","841.06","1.51B","0.27%"
"01/06/2026","843.54","848.04","848.97","840.29","1.30B","-0.54%"
"01/05/2026","848.13","843.46","853.60","841.64","1.81B","1.49%"
"12/30/2025","835.67","830.53","837.67","830.53","1.27B","0.51%"
"12/29/2025","831.44","834.79","836.59","826.16","896.41M","-0.49%"
"12/26/2025","835.55","838.65","839.89","832.75","708.45M","-0.40%"
"12/25/2025","838.90","844.45","844.56","836.48","529.50M","-0.70%"
"12/24/2025","844.85","843.05","844.85","839.97","1.24B","0.33%"
"12/23/2025","842.09","841.63","846.77","839.14","1.21B","0.34%"
"12/22/2025","839.24","834.20","840.16","831.71","1.27B","1.30%"
"12/19/2025","828.50","831.34","832.63","826.38","1.54B","-0.02%"
"12/18/2025","828.64","832.17","835.55","823.29","2.08B","-0.20%"
"12/17/2025","830.30","833.38","836.80","828.89","1.48B","-0.30%"
"12/16/2025","832.84","838.06","838.06","831.42","1.32B","-0.99%"
"12/15/2025","841.16","824.94","841.16","823.93","1.42B","1.61%"
"12/12/2025","827.81","829.56","834.29","826.63","1.43B","-0.07%"
"12/11/2025","828.42","840.26","839.88","825.54","1.20B","-1.10%"
"12/09/2025","837.65","832.61","837.65","831.70","859.08M","0.67%"
"12/08/2025","832.04","838.74","842.79","829.25","1.23B","-0.69%"
"12/04/2025","837.85","840.23","844.73","834.82","1.52B","0.18%"
"12/03/2025","836.36","837.37","841.80","834.79","1.43B","-0.18%"
"12/02/2025","837.85","838.69","838.84","831.18","1.42B","0.11%"
"12/01/2025","836.89","823.80","838.72","823.20","1.70B","1.71%"
"11/28/2025","822.78","823.70","828.15","818.67","1.56B","0.28%"
"11/27/2025","820.47","827.73","828.21","819.12","1.19B","-0.64%"
"11/26/2025","825.79","833.59","834.03","823.61","2.33B","-0.47%"
"11/25/2025","829.67","824.06","831.18","820.53","1.72B","1.31%"
"11/24/2025","818.98","822.81","823.52","818.02","1.46B","-0.01%"
"11/21/2025","819.10","827.63","830.29","814.66","1.90B","-2.08%"
"11/20/2025","836.46","835.94","845.26","833.01","1.40B","0.86%"
"11/19/2025","829.29","831.94","833.18","824.12","1.61B","-0.17%"
"11/18/2025","830.71","829.46","836.73","829.46","1.08B","-0.79%"
"11/17/2025","837.34","828.13","839.51","825.09","1.30B","1.04%"
"11/14/2025","828.73","834.41","839.85","825.53","1.07B","-1.37%"
"11/13/2025","840.27","840.40","843.72","836.13","1.25B","0.31%"
"11/12/2025","837.70","849.56","849.90","837.70","1.58B","-1.12%"
"11/11/2025","847.15","852.09","853.11","845.45","1.43B","-0.40%"
"11/10/2025","850.53","850.78","853.87","845.79","1.10B","0.35%"
"11/07/2025","847.55","851.13","855.17","847.09","986.49M","-0.71%"
"11/06/2025","853.59","848.32","856.34","843.77","1.69B","1.26%"
"11/05/2025","842.93","837.03","846.79","835.47","1.47B","-0.16%"
"11/04/2025","844.31","849.12","854.26","841.95","1.73B","-0.81%"
"11/03/2025","851.22","856.04","857.36","848.12","1.10B","-0.08%"
"10/31/2025","851.93","851.91","857.86","848.99","1.35B","-0.46%"
"10/30/2025","855.87","849.65","859.48","847.38","2.35B","0.02%"
"10/29/2025","855.68","855.00","859.33","853.57","1.37B","0.14%"
"10/28/2025","854.48","864.62","866.50","851.78","1.85B","-0.84%"
"10/27/2025","861.68","865.24","876.98","861.07","1.93B","0.40%"
"10/24/2025","858.28","853.52","863.22","851.02","2.05B","1.17%"
"10/22/2025","848.34","840.12","855.50","836.53","1.96B","1.11%"
"10/21/2025","839.05","839.63","841.65","835.93","1.46B","0.43%"
"10/20/2025","835.45","835.48","837.78","832.68","964.12M","1.04%"
"10/17/2025","826.83","830.29","836.47","826.26","1.32B","-1.19%"
"10/16/2025","836.77","838.87","843.01","833.58","1.24B","0.26%"
"10/15/2025","834.58","828.47","836.16","826.05","1.56B","1.64%"
"10/14/2025","821.14","834.74","836.53","820.65","1.47B","-1.60%"
"10/10/2025","834.49","839.62","841.23","832.51","1.07B","-1.82%"
"10/09/2025","850.00","844.31","850.02","842.65","1.30B","1.00%"
"10/08/2025","841.60","842.27","847.34","839.96","1.55B","-0.03%"
"10/07/2025","841.82","835.76","845.28","834.17","1.25B","1.44%"
"10/06/2025","829.88","837.89","839.37","829.88","1.43B","-0.76%"
"10/03/2025","836.26","833.22","840.05","830.67","1.38B","0.49%"
"10/02/2025","832.17","830.69","836.67","828.89","1.12B","0.95%"
